adm_location,indicator,value,survey_name,ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,indicator_name
butare/gitarama,Total fertility rate 15-49,5.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Total fertility rate 15-49,4.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Total fertility rate 15-49,5.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Total fertility rate 15-49,6.4,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Total fertility rate 15-49,6.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Total fertility rate 15-49,6.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Total fertility rate 15-49,6.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Total fertility rate 15-49,7.5,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Total fertility rate 15-49,5.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Total fertility rate 15-49,7.2,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Total fertility rate 15-49,6.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Total fertility rate 15-49,6.7,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Total fertility rate 15-49,7.8,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Total fertility rate 15-49,5.9,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,General fertility rate,167,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,General fertility rate,155,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,General fertility rate,179,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,General fertility rate,217,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,General fertility rate,206,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,General fertility rate,227,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,General fertility rate,200,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,General fertility rate,225,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,General fertility rate,177,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,General fertility rate,222,dhs-mobile_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
