indicator_name,aggregated_value,indicator_year,survey_name,aggregation_method
Total fertility rate 15-49,5.2696969696969695,2000,RW2000DHS,mean
General fertility rate,168.72727272727272,2000,RW2000DHS,mean
Median age at first birth for women age 25-49,22.103571428571424,2000,RW2000DHS,mean
Women who want no more children,40.468,2000,RW2000DHS,mean
Mean ideal number of children for all women,4.141071428571428,2000,RW2000DHS,mean
Total wanted fertility rate,4.057142857142858,2000,RW2000DHS,mean
Married women currently using any method of contraception,29.667857142857144,2000,RW2000DHS,mean
Married women currently using any modern method of contraception,22.244642857142853,2000,RW2000DHS,mean
Unmet need for family planning,31.464285714285715,2000,RW2000DHS,mean
Demand for family planning satisfied,45.15892857142857,2000,RW2000DHS,mean
Demand for family planning satisfied by modern methods,32.68035714285715,2000,RW2000DHS,mean
Median age at first marriage [Women]: 25-49,20.958823529411767,2000,RW2000DHS,mean
"Median age at first marriage [Men]: 25-49(54,59)",23.628571428571426,1992,RW1992DHS,mean
Median age at first sexual intercourse [Women]: 25-49,20.211764705882356,2000,RW2000DHS,mean
Neonatal mortality rate,40.339285714285715,2000,RW2000DHS,mean
Postneonatal mortality rate,45.07142857142857,2000,RW2000DHS,mean
Infant mortality rate,85.5,2000,RW2000DHS,mean
Child mortality rate,71.32142857142857,2000,RW2000DHS,mean
Under-five mortality rate,149.625,2000,RW2000DHS,mean
Antenatal care from a skilled provider,95.3671717171717,2000,RW2000DHS,mean
Antenatal visits for pregnancy: 4+ visits,21.10833333333333,2000,RW2000DHS,mean
Place of delivery: Health facility,45.32738095238095,2000,RW2000DHS,mean
Assistance during delivery from a skilled provider,46.016666666666666,2000,RW2000DHS,mean
Delivery by cesarean section,5.62156862745098,2000,RW2000DHS,mean
BCG vaccination received,97.34821428571429,2000,RW2000DHS,mean
DPT 3 vaccination received,90.79285714285713,2000,RW2000DHS,mean
Polio 3 vaccination received,90.17857142857143,2000,RW2000DHS,mean
Measles vaccination received,90.45,2000,RW2000DHS,mean
Fully vaccinated (8 basic antigens),83.40357142857144,2000,RW2000DHS,mean
Children with symptoms of ARI,20.148214285714285,2000,RW2000DHS,mean
Children with ARI for whom advice or treatment was sought,47.82038834951455,2000,RW2000DHS,mean
Children with fever in the last two weeks,31.119696969696964,2000,RW2000DHS,mean
Children with fever for whom advice or treatment was sought,46.96766467065868,2000,RW2000DHS,mean
Children with diarrhea,19.16339285714286,2000,RW2000DHS,mean
Treatment of diarrhea: Either ORS or RHF,29.276785714285715,2000,RW2000DHS,mean
Children stunted,47.59803921568626,2000,RW2000DHS,mean
Children wasted,5.05686274509804,2000,RW2000DHS,mean
Children underweight,17.449019607843137,2000,RW2000DHS,mean
Median duration of any breastfeeding,26.050909090909087,2000,RW2000DHS,mean
Median duration of exclusive breastfeeding,5.241176470588236,2000,RW2000DHS,mean
Median duration of predominant breastfeeding,5.605882352941177,2000,RW2000DHS,mean
Women with no education,23.651515151515152,2000,RW2000DHS,mean
Women with secondary or higher education,15.568181818181818,2000,RW2000DHS,mean
Men with no education,18.0625,2000,RW2000DHS,mean
Men with secondary or higher education,16.1125,2000,RW2000DHS,mean
Population using an improved water source,51.61060606060606,2000,RW2000DHS,mean
Population with an improved sanitation facility,37.872727272727275,2000,RW2000DHS,mean
Households with electricity,14.643939393939394,2000,RW2000DHS,mean
"Prevalence of orphanhood: children under 18 who are orphans - mother, father or both dead",15.956862745098041,2000,RW2000DHS,mean
"Median age at first sexual intercourse [Men]: 25-49(54,59)",21.229729729729733,2000,RW2000DHS,mean
Feeding practices during diarrhea: ORT and continued feeding,11.29761904761905,2000,RW2000DHS,mean
"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",22.061904761904763,2000,RW2000DHS,mean
Households with iodized salt,98.65625,2000,RW2000DHS,mean
Mean Body Mass Index (BMI) for women,22.36756756756757,2000,RW2000DHS,mean
Women who are thin according to BMI (<18.5),8.08108108108108,2000,RW2000DHS,mean
Women who are overweight or obese according to BMI (>=25.0),16.543243243243243,2000,RW2000DHS,mean
Comprehensive correct knowledge about AIDS [Women],44.883783783783784,2000,RW2000DHS,mean
Comprehensive correct knowledge about AIDS [Men],44.089189189189185,2000,RW2000DHS,mean
"Women reporting an STI, genital dicharge, or a sore or ulcer",6.972972972972973,2000,RW2000DHS,mean
"Men reporting an STI, genital dicharge, or a sore or ulcer",4.0162162162162165,2000,RW2000DHS,mean
Women who smoke cigarettes,0.5648648648648648,2000,RW2000DHS,mean
Wife beating justified for at least one specific reason [Women],54.883783783783784,2000,RW2000DHS,mean
Wife beating justified for at least one specific reason [Men],34.13243243243244,2000,RW2000DHS,mean
Gender parity index for net primary school attendance,1.0265625,2000,RW2000DHS,mean
Gender parity index for net secondary school attendance,1.0087499999999998,2000,RW2000DHS,mean
Women who are literate,75.09148936170212,2000,RW2000DHS,mean
Men who are literate,80.28108108108108,2000,RW2000DHS,mean
Women who decide themselves how their earnings are used,28.65555555555555,2000,RW2000DHS,mean
Children with any anemia,40.251999999999995,2005,RW2005DHS,mean
Women with any anemia,18.316000000000003,2005,RW2005DHS,mean
Households with at least one insecticide-treated mosquito net (ITN),67.36285714285714,2005,RW2005DHS,mean
Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,34.77428571428572,2005,RW2005DHS,mean
Persons with access to an insecticide-treated mosquito net (ITN),53.214285714285715,2005,RW2005DHS,mean
